name,year,director,pic_sm,pic_lg,trailer,description
Rapido y furioso,2001,Rob Cohen,foto1_1.jpg,foto2_1.jpg,https://www.youtube.com/watch?v=D4X0R5VXhEw,"Cada noche, Los Angeles es testigo de alguna carrera de coches. Ultimamente ha aparecido un nuevo corredor, todos saben que es duro y que es rapido, pero lo que no saben es que es un detective con la determinacion de salir victorioso."
2 fast 2 furious,2003,John Singleton,foto1_2.jpg,foto2_2.jpg,https://www.youtube.com/watch?v=8gf7FEmBDDA,"Brian OConner ayuda a la policia de Miami y se infiltra en el mundo de las carreras ilegales, esperando asi redimirse ante sus superiores."
Reto Tokio,2006,Justin Lin,foto1_3.jpg,foto2_3.jpg,https://www.youtube.com/watch?v=p8HQ2JLlc4E,"Sean Boswell siempre se ha sentido como un intruso, pero el se define a si mismo a traves de sus victorias como corredor callejero de autos. Su pasatiempo lo vuelve impopular con las autoridades, asi que se va a vivir con su padre a Japon. Una vez alla, y aun mas enajenado, Sean descubre un nuevo deporte emocionante, pero peligroso. Las apuestas son muy altas cuando Sean se enfrenta al campeon local y se enamora de su novia."
Rapidos y furiosos 4,2009,Justin Lin,foto1_4.jpg,foto2_4.jpg,https://www.youtube.com/watch?v=mUXekPixdNo,"El ex convicto Dominic Toretto se une a su viejo adversario, Brian OConner, que ahora trabaja para el FBI en Los Angeles, con el fin de infiltrarse en una organizacion criminal que se dedica a introducir heroina en la ciudad."
Rapidos y furiosos 5,2011,Justin Lin,foto1_5.jpg,foto2_5.jpg,https://www.youtube.com/watch?v=JSbFN5Qwz2I,"Los viejos amigos Dominic, Mia Toretto y Brian OConner se encuentran ahora en Rio de Janeiro, donde pretenden dar un ultimo golpe con el fin de obtener su libertad. Para ello reunen a un grupo de elite de pilotos experimentados."
Rapidos y furiosos 6,2013,Justin Lin,foto1_6.jpg,foto2_6.jpg,https://www.youtube.com/watch?v=h21C_UlOryw,"Desde que el robo de Dom y Brian en Rio los dejo a ellos y a su equipo con mucho dinero, ellos se dispersan por todo el mundo. Sin embargo, ellos tienen que vivir como fugitivos, incapaces de regresar con sus familias. Mientras tanto, el agente Hobbs ha estado persiguiendo a unos conductores mercenarios cuyo segundo al mando es alguien que Don conoce. Incapaz de detenerlo solo, Hobbs le pide ayuda a Dom y su equipo a cambio del perdon para todos."
